Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Source Code,Source,Unit,Value,Flag,Flag Description,Note
"GV","Drained organic soils","356","India","5026","Area","6727","Cropland organic soils","1990","1990","3050","FAO TIER 1","ha","93020.0346","E","Estimated value",""
"GV","Drained organic soils","356","India","7230","Emissions (N2O)","6727","Cropland organic soils","1990","1990","3050","FAO TIER 1","kilotonnes","2.2447","E","Estimated value",""
"GV","Drained organic soils","356","India","7216","Net stock change (C)","6727","Cropland organic soils","1990","1990","3050","FAO TIER 1","kilotonnes","1785.5836","E","Estimated value",""
"GV","Drained organic soils","356","India","7273","Emissions (CO2)","6727","Cropland organic soils","1990","1990","3050","FAO TIER 1","kilotonnes","6547.1399","E","Estimated value",""
"GV","Drained organic soils","356","India","5026","Area","6727","Cropland organic soils","1991","1991","3050","FAO TIER 1","ha","93020.0346","E","Estimated value",""
"GV","Drained organic soils","356","India","7230","Emissions (N2O)","6727","Cropland organic soils","1991","1991","3050","FAO TIER 1","kilotonnes","2.2447","E","Estimated value",""
"GV","Drained organic soils","356","India","7216","Net stock change (C)","6727","Cropland organic soils","1991","1991","3050","FAO TIER 1","kilotonnes","1785.5836","E","Estimated value",""
"GV","Drained organic soils","356","India","7273","Emissions (CO2)","6727","Cropland organic soils","1991","1991","3050","FAO TIER 1","kilotonnes","6547.1399","E","Estimated value",""
"GV","Drained organic soils","356","India","5026","Area","6727","Cropland organic soils","1992","1992","3050","FAO TIER 1","ha","93020.0346","E","Estimated value",""
"GV","Drained organic soils","356","India","7230","Emissions (N2O)","6727","Cropland organic soils","1992","1992","3050","FAO TIER 1","kilotonnes","2.2447","E","Estimated value",""
"GV","Drained organic soils","356","India","7216","Net stock change (C)","6727","Cropland organic soils","1992","1992","3050","FAO TIER 1","kilotonnes","1785.5836","E","Estimated value",""
"GV","Drained organic soils","356","India","7273","Emissions (CO2)","6727","Cropland organic soils","1992","1992","3050","FAO TIER 1","kilotonnes","6547.1399","E","Estimated value",""
"GV","Drained organic soils","356","India","5026","Area","6727","Cropland organic soils","1993","1993","3050","FAO TIER 1","ha","93020.0346","E","Estimated value",""
"GV","Drained organic soils","356","India","7230","Emissions (N2O)","6727","Cropland organic soils","1993","1993","3050","FAO TIER 1","kilotonnes","2.2447","E","Estimated value",""
"GV","Drained organic soils","356","India","7216","Net stock change (C)","6727","Cropland organic soils","1993","1993","3050","FAO TIER 1","kilotonnes","1785.5836","E","Estimated value",""
"GV","Drained organic soils","356","India","7273","Emissions (CO2)","6727","Cropland organic soils","1993","1993","3050","FAO TIER 1","kilotonnes","6547.1399","E","Estimated value",""
"GV","Drained organic soils","356","India","5026","Area","6727","Cropland organic soils","1994","1994","3050","FAO TIER 1","ha","93020.0346","E","Estimated value",""
"GV","Drained organic soils","356","India","7230","Emissions (N2O)","6727","Cropland organic soils","1994","1994","3050","FAO TIER 1","kilotonnes","2.2447","E","Estimated value",""
"GV","Drained organic soils","356","India","7216","Net stock change (C)","6727","Cropland organic soils","1994","1994","3050","FAO TIER 1","kilotonnes","1785.5836","E","Estimated value",""
"GV","Drained organic soils","356","India","7273","Emissions (CO2)","6727","Cropland organic soils","1994","1994","3050","FAO TIER 1","kilotonnes","6547.1399","E","Estimated value",""
"GV","Drained organic soils","356","India","5026","Area","6727","Cropland organic soils","1995","1995","3050","FAO TIER 1","ha","93733.4668","E","Estimated value",""
"GV","Drained organic soils","356","India","7230","Emissions (N2O)","6727","Cropland organic soils","1995","1995","3050","FAO TIER 1","kilotonnes","2.2608","E","Estimated value",""
"GV","Drained organic soils","356","India","7216","Net stock change (C)","6727","Cropland organic soils","1995","1995","3050","FAO TIER 1","kilotonnes","1798.3481","E","Estimated value",""
"GV","Drained organic soils","356","India","7273","Emissions (CO2)","6727","Cropland organic soils","1995","1995","3050","FAO TIER 1","kilotonnes","6593.943","E","Estimated value",""
"GV","Drained organic soils","356","India","5026","Area","6727","Cropland organic soils","1996","1996","3050","FAO TIER 1","ha","93775.6638","E","Estimated value",""
"GV","Drained organic soils","356","India","7230","Emissions (N2O)","6727","Cropland organic soils","1996","1996","3050","FAO TIER 1","kilotonnes","2.2631","E","Estimated value",""
