Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Months Code,Months,Year Code,Year,Unit,Value,Flag,Flag Description
"ET","Temperature change","356","India","7271","Temperature change","7001","January","1961","1961","°C","0.543","E","Estimated value"
"ET","Temperature change","356","India","7271","Temperature change","7001","January","1962","1962","°C","-1.272","E","Estimated value"
"ET","Temperature change","356","India","7271","Temperature change","7001","January","1963","1963","°C","-0.366","E","Estimated value"
"ET","Temperature change","356","India","7271","Temperature change","7001","January","1964","1964","°C","-0.563","E","Estimated value"
"ET","Temperature change","356","India","7271","Temperature change","7001","January","1965","1965","°C","0.773","E","Estimated value"
"ET","Temperature change","356","India","7271","Temperature change","7001","January","1966","1966","°C","0.479","E","Estimated value"
"ET","Temperature change","356","India","7271","Temperature change","7001","January","1967","1967","°C","-0.347","E","Estimated value"
"ET","Temperature change","356","India","7271","Temperature change","7001","January","1968","1968","°C","-0.621","E","Estimated value"
"ET","Temperature change","356","India","7271","Temperature change","7001","January","1969","1969","°C","0.143","E","Estimated value"
"ET","Temperature change","356","India","7271","Temperature change","7001","January","1970","1970","°C","0.375","E","Estimated value"
"ET","Temperature change","356","India","7271","Temperature change","7001","January","1971","1971","°C","-0.209","E","Estimated value"
"ET","Temperature change","356","India","7271","Temperature change","7001","January","1972","1972","°C","0.076","E","Estimated value"
"ET","Temperature change","356","India","7271","Temperature change","7001","January","1973","1973","°C","0.542","E","Estimated value"
"ET","Temperature change","356","India","7271","Temperature change","7001","January","1974","1974","°C","-0.171","E","Estimated value"
"ET","Temperature change","356","India","7271","Temperature change","7001","January","1975","1975","°C","-0.811","E","Estimated value"
"ET","Temperature change","356","India","7271","Temperature change","7001","January","1976","1976","°C","-0.117","E","Estimated value"
"ET","Temperature change","356","India","7271","Temperature change","7001","January","1977","1977","°C","0.061","E","Estimated value"
"ET","Temperature change","356","India","7271","Temperature change","7001","January","1978","1978","°C","-0.29","E","Estimated value"
"ET","Temperature change","356","India","7271","Temperature change","7001","January","1979","1979","°C","0.637","E","Estimated value"
"ET","Temperature change","356","India","7271","Temperature change","7001","January","1980","1980","°C","0.502","E","Estimated value"
"ET","Temperature change","356","India","7271","Temperature change","7001","January","1981","1981","°C","-0.027","E","Estimated value"
"ET","Temperature change","356","India","7271","Temperature change","7001","January","1982","1982","°C","0.673","E","Estimated value"
"ET","Temperature change","356","India","7271","Temperature change","7001","January","1983","1983","°C","-0.265","E","Estimated value"
"ET","Temperature change","356","India","7271","Temperature change","7001","January","1984","1984","°C","-0.163","E","Estimated value"
"ET","Temperature change","356","India","7271","Temperature change","7001","January","1985","1985","°C","0.486","E","Estimated value"
"ET","Temperature change","356","India","7271","Temperature change","7001","January","1986","1986","°C","0.087","E","Estimated value"
"ET","Temperature change","356","India","7271","Temperature change","7001","January","1987","1987","°C","0.533","E","Estimated value"
"ET","Temperature change","356","India","7271","Temperature change","7001","January","1988","1988","°C","1.16","E","Estimated value"
"ET","Temperature change","356","India","7271","Temperature change","7001","January","1989","1989","°C","-0.493","E","Estimated value"
"ET","Temperature change","356","India","7271","Temperature change","7001","January","1990","1990","°C","1.436","E","Estimated value"
"ET","Temperature change","356","India","7271","Temperature change","7001","January","1991","1991","°C","-0.094","E","Estimated value"
"ET","Temperature change","356","India","7271","Temperature change","7001","January","1992","1992","°C","-0.035","E","Estimated value"
"ET","Temperature change","356","India","7271","Temperature change","7001","January","1993","1993","°C","0.322","E","Estimated value"
